"Type","curr.s.cl.tif","SSP126.s30.BCCCSM2.cl.tif","SSP126.s30.CanESM5.cl.tif","SSP126.s30.CNRMESM2.cl.tif","SSP126.s30.IPSLCM6A.cl.tif","SSP126.s30.mean.cl.tif","SSP126.s30.MIROC6.cl.tif","SSP126.s30.MRIESM2.cl.tif","SSP126.s50.BCCCSM2.cl.tif","SSP126.s50.CanESM5.cl.tif","SSP126.s50.CNRMESM2.cl.tif","SSP126.s50.IPSLCM6A.cl.tif","SSP126.s50.mean.cl.tif","SSP126.s50.MIROC6.cl.tif","SSP126.s50.MRIESM2.cl.tif","SSP126.s70.BCCCSM2.cl.tif","SSP126.s70.CanESM5.cl.tif","SSP126.s70.CNRMESM2.cl.tif","SSP126.s70.IPSLCM6A.cl.tif","SSP126.s70.mean.cl.tif","SSP126.s70.MIROC6.cl.tif","SSP126.s70.MRIESM2.cl.tif","SSP126.s90.BCCCSM2.cl.tif","SSP126.s90.CanESM5.cl.tif","SSP126.s90.CNRMESM2.cl.tif","SSP126.s90.IPSLCM6A.cl.tif","SSP126.s90.mean.cl.tif","SSP126.s90.MIROC6.cl.tif","SSP126.s90.MRIESM2.cl.tif","SSP245.s30.BCCCSM2.cl.tif","SSP245.s30.CanESM5.cl.tif","SSP245.s30.CNRMESM2.cl.tif","SSP245.s30.IPSLCM6A.cl.tif","SSP245.s30.mean.cl.tif","SSP245.s30.MIROC6.cl.tif","SSP245.s30.MRIESM2.cl.tif","SSP245.s50.BCCCSM2.cl.tif","SSP245.s50.CanESM5.cl.tif","SSP245.s50.CNRMESM2.cl.tif","SSP245.s50.IPSLCM6A.cl.tif","SSP245.s50.mean.cl.tif","SSP245.s50.MIROC6.cl.tif","SSP245.s50.MRIESM2.cl.tif","SSP245.s70.BCCCSM2.cl.tif","SSP245.s70.CanESM5.cl.tif","SSP245.s70.CNRMESM2.cl.tif","SSP245.s70.IPSLCM6A.cl.tif","SSP245.s70.mean.cl.tif","SSP245.s70.MIROC6.cl.tif","SSP245.s70.MRIESM2.cl.tif","SSP245.s90.BCCCSM2.cl.tif","SSP245.s90.CanESM5.cl.tif","SSP245.s90.CNRMESM2.cl.tif","SSP245.s90.IPSLCM6A.cl.tif","SSP245.s90.mean.cl.tif","SSP245.s90.MIROC6.cl.tif","SSP245.s90.MRIESM2.cl.tif","SSP370.s30.BCCCSM2.cl.tif","SSP370.s30.CanESM5.cl.tif","SSP370.s30.CNRMESM2.cl.tif","SSP370.s30.IPSLCM6A.cl.tif","SSP370.s30.mean.cl.tif","SSP370.s30.MIROC6.cl.tif","SSP370.s30.MRIESM2.cl.tif","SSP370.s50.BCCCSM2.cl.tif","SSP370.s50.CanESM5.cl.tif","SSP370.s50.CNRMESM2.cl.tif","SSP370.s50.IPSLCM6A.cl.tif","SSP370.s50.mean.cl.tif","SSP370.s50.MIROC6.cl.tif","SSP370.s50.MRIESM2.cl.tif","SSP370.s70.BCCCSM2.cl.tif","SSP370.s70.CanESM5.cl.tif","SSP370.s70.CNRMESM2.cl.tif","SSP370.s70.IPSLCM6A.cl.tif","SSP370.s70.mean.cl.tif","SSP370.s70.MIROC6.cl.tif","SSP370.s70.MRIESM2.cl.tif","SSP370.s90.BCCCSM2.cl.tif","SSP370.s90.CanESM5.cl.tif","SSP370.s90.CNRMESM2.cl.tif","SSP370.s90.IPSLCM6A.cl.tif","SSP370.s90.mean.cl.tif","SSP370.s90.MIROC6.cl.tif","SSP370.s90.MRIESM2.cl.tif","SSP585.s30.BCCCSM2.cl.tif","SSP585.s30.CanESM5.cl.tif","SSP585.s30.CNRMESM2.cl.tif","SSP585.s30.IPSLCM6A.cl.tif","SSP585.s30.mean.cl.tif","SSP585.s30.MIROC6.cl.tif","SSP585.s30.MRIESM2.cl.tif","SSP585.s50.BCCCSM2.cl.tif","SSP585.s50.CanESM5.cl.tif","SSP585.s50.CNRMESM2.cl.tif","SSP585.s50.IPSLCM6A.cl.tif","SSP585.s50.mean.cl.tif","SSP585.s50.MIROC6.cl.tif","SSP585.s50.MRIESM2.cl.tif","SSP585.s70.BCCCSM2.cl.tif","SSP585.s70.CanESM5.cl.tif","SSP585.s70.CNRMESM2.cl.tif","SSP585.s70.IPSLCM6A.cl.tif","SSP585.s70.mean.cl.tif","SSP585.s70.MIROC6.cl.tif","SSP585.s70.MRIESM2.cl.tif","SSP585.s90.BCCCSM2.cl.tif","SSP585.s90.CanESM5.cl.tif","SSP585.s90.CNRMESM2.cl.tif","SSP585.s90.IPSLCM6A.cl.tif","SSP585.s90.mean.cl.tif","SSP585.s90.MIROC6.cl.tif","SSP585.s90.MRIESM2.cl.tif"
"Bale",71,44,69,35,43,43,59,22,46,47,59,34,49,77,46,64,21,56,80,51,35,125,1,35,28,25,29,79,104,35,88,60,43,47,47,43,27,72,47,63,45,50,63,52,60,82,54,56,60,64,20,46,46,76,49,59,110,35,67,47,57,54,65,43,59,91,47,27,36,19,54,34,54,56,16,61,105,109,57,49,73,7,39,52,56,30,76,56,26,29,23,43,88,59,78,27,58,46,111,90,42,78,5,47,47,30,86,9,112,2,78,83,168
"Else",1668,1945,2216,1777,1881,1932,1985,2147,1849,2044,2076,1927,1977,2083,2101,2086,1849,2070,2026,2092,1832,2800,1677,2197,1783,1888,2102,2236,3388,1667,2059,2061,2584,1954,2027,1961,1619,1713,1830,2055,1996,2312,2494,1672,1779,2145,2031,1969,1937,2357,1229,1914,1797,1870,1876,2165,2862,1872,1710,1917,2045,1994,2248,2584,2015,945,1806,1841,1702,1700,2093,1378,383,1881,1682,1752,2467,2422,1774,108,1576,1489,1486,1597,2480,1606,1827,1742,1568,1765,1855,2584,1487,1162,1770,1723,1708,1728,2643,1722,407,1869,1586,1602,1666,2382,1279,58,1709,1356,1542,1861,3746
"Guji",292,108,206,191,180,181,260,92,124,162,244,185,194,240,148,157,126,240,141,218,250,323,16,163,236,137,192,273,324,59,168,223,131,184,242,124,99,128,233,174,170,253,118,117,129,311,186,210,262,180,30,137,235,122,183,297,233,115,148,234,137,218,295,131,36,120,246,85,146,158,195,24,101,221,49,139,303,147,91,36,192,31,131,245,175,82,149,171,72,123,170,131,101,103,245,130,188,198,282,114,49,237,79,146,288,90,77,14,225,9,149,287,348
"Harar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4
"Keffa",55,94,65,83,78,84,82,91,61,101,90,75,87,75,101,64,104,86,67,85,86,88,100,139,93,76,115,83,138,76,77,74,90,84,86,96,55,79,67,87,89,82,148,66,91,104,74,83,83,80,43,112,78,64,87,64,138,59,58,68,89,70,71,90,67,44,66,88,73,83,86,58,46,65,60,69,79,106,49,14,35,46,48,64,142,75,129,55,69,81,82,90,39,83,54,98,71,77,86,39,64,59,65,64,62,102,24,15,27,24,41,56,91
"Lekempti",0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,0,0,0,0,0,1,15,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,0,0,3
"Limu",157,20,13,24,34,23,22,42,9,21,42,34,24,30,50,23,22,43,24,23,23,27,34,43,47,31,33,24,66,19,9,14,67,21,29,50,19,11,11,39,20,27,84,22,23,38,27,26,26,44,22,42,24,20,24,12,60,8,5,7,40,11,25,67,26,5,13,28,15,15,41,7,10,10,15,13,23,59,3,0,4,9,5,11,85,16,41,4,25,22,28,67,6,34,14,46,22,23,54,4,17,22,23,17,11,81,5,0,3,0,2,6,36
"Sidamo",1219,1148,1259,1128,1231,1216,1237,1247,1217,1227,1305,1230,1257,1249,1257,1208,1143,1297,1220,1253,1103,1331,1001,1235,1185,1159,1246,1310,1402,1034,1205,1301,1364,1220,1193,1194,1135,1057,1224,1249,1242,1261,1333,1049,1061,1284,1206,1220,1185,1305,890,1088,1220,1110,1211,1244,1374,1142,1112,1246,1228,1256,1307,1364,1137,701,1232,1138,1131,964,1221,642,301,1204,1093,1128,1291,1182,1110,60,1173,929,1069,1028,1319,1084,1091,1157,1030,1147,1088,1364,983,747,1224,1102,1142,1109,1308,784,250,1230,1049,1091,1118,1290,894,62,1185,784,1035,1114,1339
"Yirgar",111,73,131,75,112,101,101,117,95,141,116,120,121,118,120,83,133,106,125,119,70,145,23,144,86,117,114,123,151,43,126,114,125,99,101,86,96,127,107,126,110,113,119,74,135,122,128,114,104,125,43,143,113,119,115,121,145,74,121,104,100,108,118,125,55,117,104,81,77,17,97,44,105,115,104,96,128,87,101,33,122,96,95,60,118,58,130,90,49,75,32,125,76,122,125,89,107,79,137,72,79,130,115,106,94,127,65,10,140,79,106,107,156
