"Type","curr.s.cl.tif","SSP126.s30.BCCCSM2.cl.tif","SSP126.s30.CanESM5.cl.tif","SSP126.s30.CNRMESM2.cl.tif","SSP126.s30.IPSLCM6A.cl.tif","SSP126.s30.mean.cl.tif","SSP126.s30.MIROC6.cl.tif","SSP126.s30.MRIESM2.cl.tif","SSP126.s50.BCCCSM2.cl.tif","SSP126.s50.CanESM5.cl.tif","SSP126.s50.CNRMESM2.cl.tif","SSP126.s50.IPSLCM6A.cl.tif","SSP126.s50.mean.cl.tif","SSP126.s50.MIROC6.cl.tif","SSP126.s50.MRIESM2.cl.tif","SSP126.s70.BCCCSM2.cl.tif","SSP126.s70.CanESM5.cl.tif","SSP126.s70.CNRMESM2.cl.tif","SSP126.s70.IPSLCM6A.cl.tif","SSP126.s70.mean.cl.tif","SSP126.s70.MIROC6.cl.tif","SSP126.s70.MRIESM2.cl.tif","SSP126.s90.BCCCSM2.cl.tif","SSP126.s90.CanESM5.cl.tif","SSP126.s90.CNRMESM2.cl.tif","SSP126.s90.IPSLCM6A.cl.tif","SSP126.s90.mean.cl.tif","SSP126.s90.MIROC6.cl.tif","SSP126.s90.MRIESM2.cl.tif","SSP245.s30.BCCCSM2.cl.tif","SSP245.s30.CanESM5.cl.tif","SSP245.s30.CNRMESM2.cl.tif","SSP245.s30.IPSLCM6A.cl.tif","SSP245.s30.mean.cl.tif","SSP245.s30.MIROC6.cl.tif","SSP245.s30.MRIESM2.cl.tif","SSP245.s50.BCCCSM2.cl.tif","SSP245.s50.CanESM5.cl.tif","SSP245.s50.CNRMESM2.cl.tif","SSP245.s50.IPSLCM6A.cl.tif","SSP245.s50.mean.cl.tif","SSP245.s50.MIROC6.cl.tif","SSP245.s50.MRIESM2.cl.tif","SSP245.s70.BCCCSM2.cl.tif","SSP245.s70.CanESM5.cl.tif","SSP245.s70.CNRMESM2.cl.tif","SSP245.s70.IPSLCM6A.cl.tif","SSP245.s70.mean.cl.tif","SSP245.s70.MIROC6.cl.tif","SSP245.s70.MRIESM2.cl.tif","SSP245.s90.BCCCSM2.cl.tif","SSP245.s90.CanESM5.cl.tif","SSP245.s90.CNRMESM2.cl.tif","SSP245.s90.IPSLCM6A.cl.tif","SSP245.s90.mean.cl.tif","SSP245.s90.MIROC6.cl.tif","SSP245.s90.MRIESM2.cl.tif","SSP370.s30.BCCCSM2.cl.tif","SSP370.s30.CanESM5.cl.tif","SSP370.s30.CNRMESM2.cl.tif","SSP370.s30.IPSLCM6A.cl.tif","SSP370.s30.mean.cl.tif","SSP370.s30.MIROC6.cl.tif","SSP370.s30.MRIESM2.cl.tif","SSP370.s50.BCCCSM2.cl.tif","SSP370.s50.CanESM5.cl.tif","SSP370.s50.CNRMESM2.cl.tif","SSP370.s50.IPSLCM6A.cl.tif","SSP370.s50.mean.cl.tif","SSP370.s50.MIROC6.cl.tif","SSP370.s50.MRIESM2.cl.tif","SSP370.s70.BCCCSM2.cl.tif","SSP370.s70.CanESM5.cl.tif","SSP370.s70.CNRMESM2.cl.tif","SSP370.s70.IPSLCM6A.cl.tif","SSP370.s70.mean.cl.tif","SSP370.s70.MIROC6.cl.tif","SSP370.s70.MRIESM2.cl.tif","SSP370.s90.BCCCSM2.cl.tif","SSP370.s90.CanESM5.cl.tif","SSP370.s90.CNRMESM2.cl.tif","SSP370.s90.IPSLCM6A.cl.tif","SSP370.s90.mean.cl.tif","SSP370.s90.MIROC6.cl.tif","SSP370.s90.MRIESM2.cl.tif","SSP585.s30.BCCCSM2.cl.tif","SSP585.s30.CanESM5.cl.tif","SSP585.s30.CNRMESM2.cl.tif","SSP585.s30.IPSLCM6A.cl.tif","SSP585.s30.mean.cl.tif","SSP585.s30.MIROC6.cl.tif","SSP585.s30.MRIESM2.cl.tif","SSP585.s50.BCCCSM2.cl.tif","SSP585.s50.CanESM5.cl.tif","SSP585.s50.CNRMESM2.cl.tif","SSP585.s50.IPSLCM6A.cl.tif","SSP585.s50.mean.cl.tif","SSP585.s50.MIROC6.cl.tif","SSP585.s50.MRIESM2.cl.tif","SSP585.s70.BCCCSM2.cl.tif","SSP585.s70.CanESM5.cl.tif","SSP585.s70.CNRMESM2.cl.tif","SSP585.s70.IPSLCM6A.cl.tif","SSP585.s70.mean.cl.tif","SSP585.s70.MIROC6.cl.tif","SSP585.s70.MRIESM2.cl.tif","SSP585.s90.BCCCSM2.cl.tif","SSP585.s90.CanESM5.cl.tif","SSP585.s90.CNRMESM2.cl.tif","SSP585.s90.IPSLCM6A.cl.tif","SSP585.s90.mean.cl.tif","SSP585.s90.MIROC6.cl.tif","SSP585.s90.MRIESM2.cl.tif"
"Bale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Else",641,269,912,635,686,711,738,915,772,1183,594,759,841,890,917,765,1248,760,824,895,855,1130,552,1207,615,710,797,914,813,632,991,665,747,759,788,680,813,1374,690,616,811,955,637,906,1498,687,780,901,903,895,635,1575,736,789,815,977,543,708,1156,640,624,743,701,747,646,1554,798,679,768,763,621,901,1935,793,855,934,898,880,1063,2184,921,1028,957,946,627,495,1259,753,573,767,902,747,348,1643,928,589,833,873,1103,854,2262,837,879,933,973,868,726,2465,1022,1347,1024,1184,833
"Guji",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,20,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,35,0,0,0,0,0,0,32,0,12,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,59,0,15,0,0,0,0,77,0,37,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,54,0,19,0,0,0,0,80,1,70,4,0,19
"Harar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keffa",265,129,260,222,246,250,250,272,249,234,244,255,256,258,265,250,243,257,258,264,249,275,243,244,238,250,255,257,272,220,260,251,259,249,250,251,251,238,227,245,253,263,256,251,208,177,253,258,250,268,236,207,196,251,254,263,251,243,263,230,247,247,238,259,247,256,251,248,251,246,250,253,266,160,249,260,248,271,261,275,211,258,263,250,262,217,261,241,240,252,260,259,83,255,271,238,252,254,275,242,274,164,256,265,254,275,240,275,157,271,269,263,271
"Lekempti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limu",47,0,64,33,47,50,63,118,47,84,40,66,71,92,100,58,88,74,47,76,69,192,45,96,52,38,64,74,128,38,74,55,58,55,67,56,66,90,47,32,72,101,87,58,105,42,40,59,66,52,30,151,38,37,53,82,32,46,89,38,40,46,42,58,48,153,66,40,58,54,41,58,329,35,37,71,69,90,88,444,40,53,78,73,63,23,94,48,38,50,93,58,0,184,92,23,58,69,190,46,412,46,52,84,90,145,62,503,64,100,94,103,129
"Sidamo",168,34,219,110,129,118,114,125,121,334,93,138,139,140,127,137,354,117,201,156,103,181,79,335,88,177,134,162,138,96,243,123,129,122,114,112,145,435,132,135,147,131,87,137,596,121,192,169,125,199,84,687,141,208,159,171,155,142,312,114,109,138,116,129,97,616,128,130,130,98,125,144,855,167,220,183,144,171,209,918,164,319,188,115,171,67,363,149,92,125,120,129,57,683,167,110,144,117,188,133,965,155,266,174,135,159,151,1011,168,633,213,156,406
"Yirgar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,45,0,0,0,0,0,0,82,0,7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,62,0,2,0,0,0,0,114,0,38,0,0,6
