"Type","curr.s.cl.tif","SSP126.s30.BCCCSM2.cl.tif","SSP126.s30.CanESM5.cl.tif","SSP126.s30.CNRMESM2.cl.tif","SSP126.s30.IPSLCM6A.cl.tif","SSP126.s30.mean.cl.tif","SSP126.s30.MIROC6.cl.tif","SSP126.s30.MRIESM2.cl.tif","SSP126.s50.BCCCSM2.cl.tif","SSP126.s50.CanESM5.cl.tif","SSP126.s50.CNRMESM2.cl.tif","SSP126.s50.IPSLCM6A.cl.tif","SSP126.s50.mean.cl.tif","SSP126.s50.MIROC6.cl.tif","SSP126.s50.MRIESM2.cl.tif","SSP126.s70.BCCCSM2.cl.tif","SSP126.s70.CanESM5.cl.tif","SSP126.s70.CNRMESM2.cl.tif","SSP126.s70.IPSLCM6A.cl.tif","SSP126.s70.mean.cl.tif","SSP126.s70.MIROC6.cl.tif","SSP126.s70.MRIESM2.cl.tif","SSP126.s90.BCCCSM2.cl.tif","SSP126.s90.CanESM5.cl.tif","SSP126.s90.CNRMESM2.cl.tif","SSP126.s90.IPSLCM6A.cl.tif","SSP126.s90.mean.cl.tif","SSP126.s90.MIROC6.cl.tif","SSP126.s90.MRIESM2.cl.tif","SSP245.s30.BCCCSM2.cl.tif","SSP245.s30.CanESM5.cl.tif","SSP245.s30.CNRMESM2.cl.tif","SSP245.s30.IPSLCM6A.cl.tif","SSP245.s30.mean.cl.tif","SSP245.s30.MIROC6.cl.tif","SSP245.s30.MRIESM2.cl.tif","SSP245.s50.BCCCSM2.cl.tif","SSP245.s50.CanESM5.cl.tif","SSP245.s50.CNRMESM2.cl.tif","SSP245.s50.IPSLCM6A.cl.tif","SSP245.s50.mean.cl.tif","SSP245.s50.MIROC6.cl.tif","SSP245.s50.MRIESM2.cl.tif","SSP245.s70.BCCCSM2.cl.tif","SSP245.s70.CanESM5.cl.tif","SSP245.s70.CNRMESM2.cl.tif","SSP245.s70.IPSLCM6A.cl.tif","SSP245.s70.mean.cl.tif","SSP245.s70.MIROC6.cl.tif","SSP245.s70.MRIESM2.cl.tif","SSP245.s90.BCCCSM2.cl.tif","SSP245.s90.CanESM5.cl.tif","SSP245.s90.CNRMESM2.cl.tif","SSP245.s90.IPSLCM6A.cl.tif","SSP245.s90.mean.cl.tif","SSP245.s90.MIROC6.cl.tif","SSP245.s90.MRIESM2.cl.tif","SSP370.s30.BCCCSM2.cl.tif","SSP370.s30.CanESM5.cl.tif","SSP370.s30.CNRMESM2.cl.tif","SSP370.s30.IPSLCM6A.cl.tif","SSP370.s30.mean.cl.tif","SSP370.s30.MIROC6.cl.tif","SSP370.s30.MRIESM2.cl.tif","SSP370.s50.BCCCSM2.cl.tif","SSP370.s50.CanESM5.cl.tif","SSP370.s50.CNRMESM2.cl.tif","SSP370.s50.IPSLCM6A.cl.tif","SSP370.s50.mean.cl.tif","SSP370.s50.MIROC6.cl.tif","SSP370.s50.MRIESM2.cl.tif","SSP370.s70.BCCCSM2.cl.tif","SSP370.s70.CanESM5.cl.tif","SSP370.s70.CNRMESM2.cl.tif","SSP370.s70.IPSLCM6A.cl.tif","SSP370.s70.mean.cl.tif","SSP370.s70.MIROC6.cl.tif","SSP370.s70.MRIESM2.cl.tif","SSP370.s90.BCCCSM2.cl.tif","SSP370.s90.CanESM5.cl.tif","SSP370.s90.CNRMESM2.cl.tif","SSP370.s90.IPSLCM6A.cl.tif","SSP370.s90.mean.cl.tif","SSP370.s90.MIROC6.cl.tif","SSP370.s90.MRIESM2.cl.tif","SSP585.s30.BCCCSM2.cl.tif","SSP585.s30.CanESM5.cl.tif","SSP585.s30.CNRMESM2.cl.tif","SSP585.s30.IPSLCM6A.cl.tif","SSP585.s30.mean.cl.tif","SSP585.s30.MIROC6.cl.tif","SSP585.s30.MRIESM2.cl.tif","SSP585.s50.BCCCSM2.cl.tif","SSP585.s50.CanESM5.cl.tif","SSP585.s50.CNRMESM2.cl.tif","SSP585.s50.IPSLCM6A.cl.tif","SSP585.s50.mean.cl.tif","SSP585.s50.MIROC6.cl.tif","SSP585.s50.MRIESM2.cl.tif","SSP585.s70.BCCCSM2.cl.tif","SSP585.s70.CanESM5.cl.tif","SSP585.s70.CNRMESM2.cl.tif","SSP585.s70.IPSLCM6A.cl.tif","SSP585.s70.mean.cl.tif","SSP585.s70.MIROC6.cl.tif","SSP585.s70.MRIESM2.cl.tif","SSP585.s90.BCCCSM2.cl.tif","SSP585.s90.CanESM5.cl.tif","SSP585.s90.CNRMESM2.cl.tif","SSP585.s90.IPSLCM6A.cl.tif","SSP585.s90.mean.cl.tif","SSP585.s90.MIROC6.cl.tif","SSP585.s90.MRIESM2.cl.tif"
"Bale",275,0,255,227,197,159,261,56,0,144,204,269,82,55,18,2,89,251,121,61,215,0,1,214,241,289,182,213,135,11,243,200,0,51,58,0,0,206,40,113,16,134,0,0,155,35,240,5,112,0,0,176,43,282,12,72,0,0,214,154,191,37,11,0,10,103,1,33,0,101,0,0,0,0,28,0,13,23,0,0,0,3,0,0,0,24,252,112,109,47,76,0,0,223,186,209,29,53,0,0,189,59,33,0,0,0,0,0,2,0,0,0,0
"Else",314,29,377,324,242,165,556,480,41,275,291,392,123,92,233,122,235,401,166,98,365,130,65,396,392,495,187,391,447,184,294,271,43,97,161,55,73,276,121,162,62,346,79,42,268,167,306,41,118,25,65,362,187,410,48,101,117,20,200,227,247,79,103,43,154,64,23,44,21,178,33,16,4,0,50,3,64,174,35,0,23,26,0,21,36,58,393,168,142,75,121,43,32,253,230,290,53,91,29,24,149,209,57,6,18,77,27,3,108,1,0,14,57
"Guji",224,49,153,184,140,143,206,199,52,169,164,188,95,3,216,4,148,181,161,75,68,70,41,183,186,204,105,102,87,110,137,171,41,85,85,54,23,109,126,153,63,95,41,3,114,133,167,7,41,0,20,111,143,169,9,6,10,6,91,177,178,70,89,41,32,4,58,89,14,98,31,0,0,0,113,0,7,130,0,0,0,67,0,0,0,44,137,172,181,82,59,41,1,72,132,175,12,55,6,0,7,69,77,0,0,4,0,0,1,1,0,0,0
"Harar",0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0
"Keffa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lekempti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limu",0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,2,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sidamo",35,3,40,22,9,5,41,85,2,62,39,17,7,4,60,3,55,54,7,4,24,43,12,66,54,36,9,30,59,19,32,31,5,12,30,25,4,31,12,7,4,65,36,5,27,50,7,2,14,12,8,23,48,9,1,17,58,1,20,17,11,3,5,5,10,1,3,3,1,31,14,1,0,0,0,0,17,23,2,0,3,0,0,1,2,5,39,12,21,5,20,5,5,8,49,8,2,7,2,1,2,42,0,0,1,11,1,0,7,0,0,0,9
"Yirgar",27,1,22,5,5,6,26,69,1,42,11,14,5,5,53,0,36,14,6,5,21,27,5,44,13,29,9,16,44,7,25,7,5,6,8,14,7,22,2,8,5,37,16,3,21,14,9,0,4,3,4,15,14,7,1,2,26,0,12,5,5,2,5,5,5,2,1,0,3,8,5,0,0,0,0,0,4,5,0,0,0,0,0,0,3,2,37,3,12,5,8,5,0,8,8,8,1,6,1,0,0,7,0,0,2,10,0,0,3,0,0,0,17
