"Type","curr.s.cl.tif","SSP126.s30.BCCCSM2.cl.tif","SSP126.s30.CanESM5.cl.tif","SSP126.s30.CNRMESM2.cl.tif","SSP126.s30.IPSLCM6A.cl.tif","SSP126.s30.mean.cl.tif","SSP126.s30.MIROC6.cl.tif","SSP126.s30.MRIESM2.cl.tif","SSP126.s50.BCCCSM2.cl.tif","SSP126.s50.CanESM5.cl.tif","SSP126.s50.CNRMESM2.cl.tif","SSP126.s50.IPSLCM6A.cl.tif","SSP126.s50.mean.cl.tif","SSP126.s50.MIROC6.cl.tif","SSP126.s50.MRIESM2.cl.tif","SSP126.s70.BCCCSM2.cl.tif","SSP126.s70.CanESM5.cl.tif","SSP126.s70.CNRMESM2.cl.tif","SSP126.s70.IPSLCM6A.cl.tif","SSP126.s70.mean.cl.tif","SSP126.s70.MIROC6.cl.tif","SSP126.s70.MRIESM2.cl.tif","SSP126.s90.BCCCSM2.cl.tif","SSP126.s90.CanESM5.cl.tif","SSP126.s90.CNRMESM2.cl.tif","SSP126.s90.IPSLCM6A.cl.tif","SSP126.s90.mean.cl.tif","SSP126.s90.MIROC6.cl.tif","SSP126.s90.MRIESM2.cl.tif","SSP245.s30.BCCCSM2.cl.tif","SSP245.s30.CanESM5.cl.tif","SSP245.s30.CNRMESM2.cl.tif","SSP245.s30.IPSLCM6A.cl.tif","SSP245.s30.mean.cl.tif","SSP245.s30.MIROC6.cl.tif","SSP245.s30.MRIESM2.cl.tif","SSP245.s50.BCCCSM2.cl.tif","SSP245.s50.CanESM5.cl.tif","SSP245.s50.CNRMESM2.cl.tif","SSP245.s50.IPSLCM6A.cl.tif","SSP245.s50.mean.cl.tif","SSP245.s50.MIROC6.cl.tif","SSP245.s50.MRIESM2.cl.tif","SSP245.s70.BCCCSM2.cl.tif","SSP245.s70.CanESM5.cl.tif","SSP245.s70.CNRMESM2.cl.tif","SSP245.s70.IPSLCM6A.cl.tif","SSP245.s70.mean.cl.tif","SSP245.s70.MIROC6.cl.tif","SSP245.s70.MRIESM2.cl.tif","SSP245.s90.BCCCSM2.cl.tif","SSP245.s90.CanESM5.cl.tif","SSP245.s90.CNRMESM2.cl.tif","SSP245.s90.IPSLCM6A.cl.tif","SSP245.s90.mean.cl.tif","SSP245.s90.MIROC6.cl.tif","SSP245.s90.MRIESM2.cl.tif","SSP370.s30.BCCCSM2.cl.tif","SSP370.s30.CanESM5.cl.tif","SSP370.s30.CNRMESM2.cl.tif","SSP370.s30.IPSLCM6A.cl.tif","SSP370.s30.mean.cl.tif","SSP370.s30.MIROC6.cl.tif","SSP370.s30.MRIESM2.cl.tif","SSP370.s50.BCCCSM2.cl.tif","SSP370.s50.CanESM5.cl.tif","SSP370.s50.CNRMESM2.cl.tif","SSP370.s50.IPSLCM6A.cl.tif","SSP370.s50.mean.cl.tif","SSP370.s50.MIROC6.cl.tif","SSP370.s50.MRIESM2.cl.tif","SSP370.s70.BCCCSM2.cl.tif","SSP370.s70.CanESM5.cl.tif","SSP370.s70.CNRMESM2.cl.tif","SSP370.s70.IPSLCM6A.cl.tif","SSP370.s70.mean.cl.tif","SSP370.s70.MIROC6.cl.tif","SSP370.s70.MRIESM2.cl.tif","SSP370.s90.BCCCSM2.cl.tif","SSP370.s90.CanESM5.cl.tif","SSP370.s90.CNRMESM2.cl.tif","SSP370.s90.IPSLCM6A.cl.tif","SSP370.s90.mean.cl.tif","SSP370.s90.MIROC6.cl.tif","SSP370.s90.MRIESM2.cl.tif","SSP585.s30.BCCCSM2.cl.tif","SSP585.s30.CanESM5.cl.tif","SSP585.s30.CNRMESM2.cl.tif","SSP585.s30.IPSLCM6A.cl.tif","SSP585.s30.mean.cl.tif","SSP585.s30.MIROC6.cl.tif","SSP585.s30.MRIESM2.cl.tif","SSP585.s50.BCCCSM2.cl.tif","SSP585.s50.CanESM5.cl.tif","SSP585.s50.CNRMESM2.cl.tif","SSP585.s50.IPSLCM6A.cl.tif","SSP585.s50.mean.cl.tif","SSP585.s50.MIROC6.cl.tif","SSP585.s50.MRIESM2.cl.tif","SSP585.s70.BCCCSM2.cl.tif","SSP585.s70.CanESM5.cl.tif","SSP585.s70.CNRMESM2.cl.tif","SSP585.s70.IPSLCM6A.cl.tif","SSP585.s70.mean.cl.tif","SSP585.s70.MIROC6.cl.tif","SSP585.s70.MRIESM2.cl.tif","SSP585.s90.BCCCSM2.cl.tif","SSP585.s90.CanESM5.cl.tif","SSP585.s90.CNRMESM2.cl.tif","SSP585.s90.IPSLCM6A.cl.tif","SSP585.s90.mean.cl.tif","SSP585.s90.MIROC6.cl.tif","SSP585.s90.MRIESM2.cl.tif"
"Bale",15,6,49,19,38,20,28,5,3,22,22,63,15,0,13,26,9,41,73,14,0,0,17,18,21,78,12,0,0,18,54,18,14,13,0,1,2,5,17,60,5,0,1,12,2,13,76,11,0,2,19,7,18,84,12,0,0,12,32,14,48,14,2,14,36,0,5,54,11,3,0,20,18,12,58,12,0,2,6,26,5,30,2,0,0,18,44,28,40,17,0,14,14,18,54,57,15,0,0,33,34,40,24,15,0,16,21,33,23,0,1,0,0
"Else",82,19,97,98,82,65,95,152,42,146,151,106,73,15,115,28,130,157,95,47,30,64,32,161,146,132,65,58,90,55,87,114,26,46,54,41,18,108,81,88,37,56,61,24,168,163,98,32,29,14,34,200,159,111,54,22,97,19,59,95,97,40,35,26,66,39,54,50,18,35,32,22,22,29,58,17,9,85,13,4,59,33,1,0,48,27,107,92,62,34,11,26,15,103,117,87,22,20,25,17,65,111,46,11,0,49,12,8,70,0,0,0,62
"Guji",258,166,243,255,234,245,265,273,173,265,264,260,244,100,276,132,246,281,242,225,138,168,166,281,259,260,236,188,182,196,232,261,189,214,165,181,147,226,225,238,213,178,172,126,210,247,242,197,138,83,145,240,269,226,201,49,152,112,191,249,262,213,181,189,138,24,180,196,151,129,155,54,7,118,192,127,78,221,43,0,70,133,19,0,72,151,233,258,244,203,124,189,67,178,243,244,183,146,104,65,22,209,159,70,0,127,44,0,53,28,2,0,54
"Harar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0
"Keffa",0,0,9,0,0,0,0,0,0,45,1,0,0,0,0,0,34,11,0,0,0,0,0,32,15,0,0,0,4,0,7,0,0,0,0,0,0,28,0,2,0,0,0,0,47,0,0,0,0,2,0,27,0,0,0,0,16,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"Lekempti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limu",0,0,27,16,7,0,0,6,0,125,26,2,0,0,0,0,117,63,0,0,1,0,0,131,52,11,0,0,17,0,45,4,0,0,5,1,0,85,6,1,0,0,0,0,143,55,0,0,13,0,0,154,6,0,0,0,20,0,24,0,0,0,0,0,0,15,0,0,0,0,2,0,14,4,0,0,0,4,0,0,3,0,0,0,0,0,77,3,2,0,0,0,0,36,18,0,0,0,1,0,12,24,0,0,0,0,0,0,0,0,0,0,7
"Sidamo",29,21,74,74,45,47,67,83,33,80,89,86,49,14,99,24,67,117,61,39,26,40,60,81,114,109,55,44,41,69,72,78,36,42,42,56,37,45,45,69,38,50,54,20,53,85,41,24,24,5,58,61,103,54,38,19,43,5,54,51,56,18,16,36,85,6,32,37,23,44,35,9,6,26,16,5,20,62,1,5,50,5,1,0,30,37,60,56,88,39,33,36,20,35,96,71,16,27,3,3,21,93,3,6,0,43,1,8,61,0,0,0,40
"Yirgar",42,15,28,34,21,30,45,59,19,42,39,33,31,20,54,0,40,43,24,25,26,26,18,40,41,36,30,38,22,33,30,31,24,32,35,36,26,30,26,25,27,41,32,11,35,33,22,17,30,14,8,30,33,11,14,16,21,0,23,34,32,24,28,24,19,16,17,11,17,13,31,0,1,6,9,2,22,28,10,0,5,0,0,0,13,7,29,29,36,23,20,24,0,23,31,27,16,26,13,0,9,17,5,8,5,25,0,0,2,0,0,1,16
