"Type","curr.s.cl.tif","SSP126.s30.BCCCSM2.cl.tif","SSP126.s30.CanESM5.cl.tif","SSP126.s30.CNRMESM2.cl.tif","SSP126.s30.IPSLCM6A.cl.tif","SSP126.s30.mean.cl.tif","SSP126.s30.MIROC6.cl.tif","SSP126.s30.MRIESM2.cl.tif","SSP126.s50.BCCCSM2.cl.tif","SSP126.s50.CanESM5.cl.tif","SSP126.s50.CNRMESM2.cl.tif","SSP126.s50.IPSLCM6A.cl.tif","SSP126.s50.mean.cl.tif","SSP126.s50.MIROC6.cl.tif","SSP126.s50.MRIESM2.cl.tif","SSP126.s70.BCCCSM2.cl.tif","SSP126.s70.CanESM5.cl.tif","SSP126.s70.CNRMESM2.cl.tif","SSP126.s70.IPSLCM6A.cl.tif","SSP126.s70.mean.cl.tif","SSP126.s70.MIROC6.cl.tif","SSP126.s70.MRIESM2.cl.tif","SSP126.s90.BCCCSM2.cl.tif","SSP126.s90.CanESM5.cl.tif","SSP126.s90.CNRMESM2.cl.tif","SSP126.s90.IPSLCM6A.cl.tif","SSP126.s90.mean.cl.tif","SSP126.s90.MIROC6.cl.tif","SSP126.s90.MRIESM2.cl.tif","SSP245.s30.BCCCSM2.cl.tif","SSP245.s30.CanESM5.cl.tif","SSP245.s30.CNRMESM2.cl.tif","SSP245.s30.IPSLCM6A.cl.tif","SSP245.s30.mean.cl.tif","SSP245.s30.MIROC6.cl.tif","SSP245.s30.MRIESM2.cl.tif","SSP245.s50.BCCCSM2.cl.tif","SSP245.s50.CanESM5.cl.tif","SSP245.s50.CNRMESM2.cl.tif","SSP245.s50.IPSLCM6A.cl.tif","SSP245.s50.mean.cl.tif","SSP245.s50.MIROC6.cl.tif","SSP245.s50.MRIESM2.cl.tif","SSP245.s70.BCCCSM2.cl.tif","SSP245.s70.CanESM5.cl.tif","SSP245.s70.CNRMESM2.cl.tif","SSP245.s70.IPSLCM6A.cl.tif","SSP245.s70.mean.cl.tif","SSP245.s70.MIROC6.cl.tif","SSP245.s70.MRIESM2.cl.tif","SSP245.s90.BCCCSM2.cl.tif","SSP245.s90.CanESM5.cl.tif","SSP245.s90.CNRMESM2.cl.tif","SSP245.s90.IPSLCM6A.cl.tif","SSP245.s90.mean.cl.tif","SSP245.s90.MIROC6.cl.tif","SSP245.s90.MRIESM2.cl.tif","SSP370.s30.BCCCSM2.cl.tif","SSP370.s30.CanESM5.cl.tif","SSP370.s30.CNRMESM2.cl.tif","SSP370.s30.IPSLCM6A.cl.tif","SSP370.s30.mean.cl.tif","SSP370.s30.MIROC6.cl.tif","SSP370.s30.MRIESM2.cl.tif","SSP370.s50.BCCCSM2.cl.tif","SSP370.s50.CanESM5.cl.tif","SSP370.s50.CNRMESM2.cl.tif","SSP370.s50.IPSLCM6A.cl.tif","SSP370.s50.mean.cl.tif","SSP370.s50.MIROC6.cl.tif","SSP370.s50.MRIESM2.cl.tif","SSP370.s70.BCCCSM2.cl.tif","SSP370.s70.CanESM5.cl.tif","SSP370.s70.CNRMESM2.cl.tif","SSP370.s70.IPSLCM6A.cl.tif","SSP370.s70.mean.cl.tif","SSP370.s70.MIROC6.cl.tif","SSP370.s70.MRIESM2.cl.tif","SSP370.s90.BCCCSM2.cl.tif","SSP370.s90.CanESM5.cl.tif","SSP370.s90.CNRMESM2.cl.tif","SSP370.s90.IPSLCM6A.cl.tif","SSP370.s90.mean.cl.tif","SSP370.s90.MIROC6.cl.tif","SSP370.s90.MRIESM2.cl.tif","SSP585.s30.BCCCSM2.cl.tif","SSP585.s30.CanESM5.cl.tif","SSP585.s30.CNRMESM2.cl.tif","SSP585.s30.IPSLCM6A.cl.tif","SSP585.s30.mean.cl.tif","SSP585.s30.MIROC6.cl.tif","SSP585.s30.MRIESM2.cl.tif","SSP585.s50.BCCCSM2.cl.tif","SSP585.s50.CanESM5.cl.tif","SSP585.s50.CNRMESM2.cl.tif","SSP585.s50.IPSLCM6A.cl.tif","SSP585.s50.mean.cl.tif","SSP585.s50.MIROC6.cl.tif","SSP585.s50.MRIESM2.cl.tif","SSP585.s70.BCCCSM2.cl.tif","SSP585.s70.CanESM5.cl.tif","SSP585.s70.CNRMESM2.cl.tif","SSP585.s70.IPSLCM6A.cl.tif","SSP585.s70.mean.cl.tif","SSP585.s70.MIROC6.cl.tif","SSP585.s70.MRIESM2.cl.tif","SSP585.s90.BCCCSM2.cl.tif","SSP585.s90.CanESM5.cl.tif","SSP585.s90.CNRMESM2.cl.tif","SSP585.s90.IPSLCM6A.cl.tif","SSP585.s90.mean.cl.tif","SSP585.s90.MIROC6.cl.tif","SSP585.s90.MRIESM2.cl.tif"
"Bale",4,8,52,26,39,28,33,12,10,31,32,89,19,3,21,43,19,55,99,11,2,2,14,29,32,108,12,6,0,27,54,25,7,15,7,3,11,15,22,72,9,1,4,16,12,22,138,8,3,0,27,24,25,173,11,2,1,3,22,24,47,14,9,7,49,0,18,74,12,7,2,14,7,16,152,9,0,6,2,0,26,163,0,0,0,23,39,30,38,16,2,7,18,38,64,109,16,3,2,9,70,55,112,3,0,2,4,24,78,97,0,0,0
"Else",255,97,653,302,272,291,339,797,185,1075,436,603,317,134,559,177,1003,687,489,273,155,540,189,1237,437,787,347,322,744,233,687,376,232,252,204,276,161,826,290,527,256,347,449,120,1126,447,741,225,310,356,211,1389,452,766,295,263,958,40,511,286,330,164,223,232,318,292,186,239,153,234,227,52,163,208,302,96,226,398,77,55,285,265,51,106,359,129,940,296,242,199,235,232,75,854,481,694,187,204,118,31,556,508,472,92,45,494,66,203,457,116,41,25,603
"Guji",203,253,312,318,324,316,324,340,299,346,337,317,324,113,331,207,324,337,316,307,174,239,241,347,316,316,314,254,228,277,305,335,228,290,256,253,242,288,315,311,296,223,225,209,290,340,310,283,235,67,214,307,346,299,312,69,200,130,277,315,321,276,234,228,231,69,291,294,250,163,184,126,0,256,291,202,103,310,89,0,283,232,24,1,150,240,322,325,297,281,152,228,139,247,314,299,284,244,103,84,65,319,260,139,0,156,142,1,297,44,0,0,95
"Harar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0
"Keffa",0,0,161,0,5,13,2,142,0,172,52,105,25,3,75,0,181,173,54,22,0,65,3,188,137,159,64,2,174,1,171,3,72,12,0,52,0,153,0,88,27,19,137,0,147,31,89,22,9,101,0,126,27,84,20,6,192,0,147,0,15,4,23,72,4,93,0,7,8,3,55,0,79,0,1,0,8,44,0,34,0,0,0,0,71,0,190,0,11,7,42,72,0,150,48,125,2,0,7,0,83,13,11,0,0,128,0,14,0,0,0,0,138
"Lekempti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limu",1,0,79,0,6,0,1,116,0,192,52,14,2,4,19,0,226,114,1,2,1,4,0,284,113,55,16,0,67,0,149,0,31,0,0,25,1,194,0,13,1,1,36,0,239,9,7,2,4,10,0,309,6,10,1,0,85,0,89,0,1,0,0,31,1,144,0,0,0,0,14,0,133,0,0,0,0,29,0,45,0,0,0,0,24,0,317,0,0,0,11,31,0,320,6,9,0,1,5,0,188,3,0,0,0,71,0,11,0,0,0,0,48
"Sidamo",238,158,365,291,247,275,251,349,204,586,287,293,266,108,319,199,513,342,259,245,180,225,237,609,313,319,264,190,358,259,410,270,192,244,197,239,218,431,250,273,238,212,259,225,581,327,282,242,167,193,226,621,316,271,266,127,498,117,325,240,258,191,128,192,234,180,231,225,231,183,208,141,105,213,212,161,115,231,159,36,276,177,114,37,218,220,502,260,267,245,174,192,174,408,291,270,244,166,106,145,236,319,229,194,33,225,177,94,320,78,95,31,360
"Yirgar",135,73,154,123,118,128,128,156,87,171,155,140,142,99,151,56,171,154,125,132,118,167,53,175,115,152,139,148,175,76,152,145,131,118,109,128,88,168,119,130,135,134,156,68,175,154,125,128,117,109,45,176,141,101,136,131,178,50,143,118,111,98,103,131,53,132,94,78,88,66,114,36,71,82,65,85,145,122,57,4,115,33,46,37,135,60,163,119,89,101,93,131,42,164,144,97,101,96,123,39,128,143,59,89,62,167,45,5,133,14,29,48,152
